char	char_sim	initial	final	tone	cat	char_ref	details
曾	曾	ts	an	1	1		姓
曾	曾	ts	eng	1	2		
曾	曾	ts	eng	5	0		
層	层	ts	an	5	1		
層	层	tsh	eng	5	2		
蹭	蹭	ts	eng	1	0		
叉	叉	tsh	a	1	2		
叉	叉	tsh	e	1	1		
扠	扠	tsh	e	1	1		
扠	扠	tsh	a	1	2		
杈	杈	tsh	a	1	2		
杈	杈	tsh	e	1	1		
臿	臿	tsh	ah	4	1		
臿	臿	tsh	ap	4	2		
插	插	tsh	ah	4	1		插入
插	插	tsh	ap	4	2	扱	搭理::勿插你@mai3-tshap4-lv2@不想理你;;插潲@tshap4-siau5@理会
鍤	锸	tsh	ah	4	1		
鍤	锸	tsh	ap	4	2		
餷	馇	ts	a	1	0		
垞	垞	tsh	a	5	0		
茬	茬	ts	a	1	0		
茶	茶	t	e	5	1		
茶	茶	tsh	a	5	2		
查	查	ts	a	1	0		
查	查	tsh	e	5	1		
查	查	tsh	a	5	2		
搽	搽	th	u	5	0		
搽	搽	tsh	at	4	0		
猹	猹	ts	a	1	0		
槎	槎	ts	a	1	0		
碴	碴	ts	a	1	0		
察	察	tsh	at	4	0		
衩	衩	tsh	a	1	0		
蹅	蹅	tsh	a	3	0		
鑔	镲	tsh	at	4	0		
汊	汊	tsh	a	1	0		
奼	奼	tsh	a	3	0		
奼	奼	th	eh	8	0		
岔	岔	tsh	a	1	0		
侘	侘	ts	a	1	0		
差	差	tsh	a	1	0		差不多
差	差	tsh	e	1	1		出差
差	差	tsh	ai	1	2		
差	差	tsh	i	1	1		参差
姹	姹	tsh	a	3	0		
姹	姹	th	eh	8	0		
詫	诧	tsh	a	3	0		
拆	拆	th	iah	4	1		
拆	拆	tsh	ek	4	2		
釵	钗	th	oi	1	1		
釵	钗	tsh	ai	1	2		
柴	柴	tsh	a	5	1		
柴	柴	tsh	ai	5	2		
豺	豺	tsh	ai	5	0		
儕	侪	s	e	5	0		
茝	茝	ts	i	2	0		
瘥	瘥	ts	a	1	0		
蠆	虿	ts	ai	6	0		
覘	觇	t	iam	1	0		
摻	掺	tsh	am	1	0		
幨	幨	ts	iam	1	0		
攙	搀	tsh	am	1	0		
孱	孱	tsh	an	1	0		
廛	廛	th	ian	5	0		
潺	潺	tsh	an	1	0		
嬋	婵	s	iam	5	0		
澶	澶	s	ian	5	0		
禪	禅	s	ian	5	0		
禪	禅	s	ian	6	0		
蟬	蝉	s	ian	5	0		
蟬	蝉	s	iam	5	0		
瀍	瀍	th	ian	5	0		
蟾	蟾	s	iam	5	0		
儳	儳	tsh	am	3	0		
巉	巉	tsh	am	5	0		
纏	缠	th	ian	5	2		
纏	缠	t	inn	5	1		
讒	谗	tsh	am	5	0		
饞	馋	tsh	am	5	0		
產	产	s	uann	2	1		
產	产	s	an	2	2		
剷	铲	tsh	an	2	0		
滻	浐	s	an	2	0		
蕆	蒇	tsh	ang	2	3		
蕆	蒇	th	ian	2	2		
諂	谄	th	iam	2	0		
鏟	铲	tsh	an	2	0		
闡	阐	tsh	ian	2	0		
闡	阐	s	ian	6	0		
囅	冁	t	ian	2	0		
懺	忏	tsh	am	3	0		
羼	羼	tsh	am	3	0		
顫	颤	ts	ian	1	0		
顫	颤	ts	ian	3	0		
昌	昌	tsh	iang	1	0		
倀	伥	ts	iang	1	0		
倀	伥	ts	iang	3	0		
菖	菖	tsh	iang	1	0		
猖	猖	tsh	iang	1	0		
娼	娼	tsh	iang	1	0		
閶	阊	tsh	iang	1	0		
鯧	鲳	tsh	iang	1	0		
長	长	ts	iang	2	0		
長	长	tsh	iang	5	2		
長	长	t	ng	5	1		
萇	苌	tsh	iang	5	0		
常	常	s	iang	5	2		反常
常	常	tsh	iang	5	2		
常	常	s	ionn	5	1		
徜	徜	s	iang	5	0		
場	场	t	ionn	5	1		
場	场	tsh	iang	5	2		
腸	肠	t	ng	5	1		
腸	肠	tsh	iang	5	2		
嘗	尝	s	iang	5	2		
嘗	尝	s	ionn	5	1		
嫦	嫦	s	iang	5	0		
嚐	尝	s	ionn	5	1		
嚐	尝	s	iang	5	2		
償	偿	s	ionn	5	1		
償	偿	s	iang	5	2		
鱨	鲿	s	ionn	5	1		
鱨	鲿	s	iang	5	2		
昶	昶	tsh	iang	2	0		
敞	敞	tsh	iang	2	0		
廠	厂	tsh	iang	2	0		
氅	氅	tsh	iang	2	0		
倡	倡	tsh	iang	1	0		
倡	倡	tsh	iang	3	0		
鬯	鬯	th	iang	3	0		
唱	唱	tsh	iang	3	0		
悵	怅	ts	iang	3	0		
暢	畅	th	iang	3	0		
抄	抄	tsh	au	1	0		
超	超	th	iau	3	3	跳	
超	超	tsh	iau	1	2		
鈔	钞	tsh	au	1	0		
晁	晁	tsh	iau	5	0		
巢	巢	tsh	au	5	0		
朝	朝	ts	iau	1	0		
朝	朝	tsh	iau	5	0		
嘲	嘲	tsh	iau	2	0		
潮	潮	t	io	5	1		
潮	潮	tsh	iau	5	2		
吵	吵	tsh	au	3	0		
炒	炒	tsh	a	2	1		
炒	炒	tsh	au	2	2		
耖	耖	tsh	au	1	0		
車	车	k	v	1	2		
車	车	tsh	ia	1	2		
車	车	tsh	e	1	2		
硨	砗	tsh	ia	1	0		
硨	砗	tsh	e	1	0		
扯	扯	tsh	e	2	2		
扯	扯	t	ui	2	3		
坼	坼	tsh	ek	4	0		
掣	掣	ts	i	3	0		
撤	撤	th	iat	4	0		
徹	彻	th	iat	4	0		
澈	澈	th	iat	4	0		
抻	抻	t	ian	2	0		
郴	郴	t	im	1	0		
琛	琛	t	im	1	0		
嗔	嗔	ts	in	1	0		
嗔	嗔	th	ian	5	0		
瞋	瞋	ts	in	1	0		
瞋	瞋	th	ian	5	0		
臣	臣	tsh	in	5	0		
辰	辰	s	in	5	0		
沉	沉	t	im	5	2		
沉	沉	th	im	5	2		
忱	忱	s	im	5	0		
宸	宸	s	in	5	0		
陳	陈	t	an	5	1		
陳	陈	th	in	5	2		
陳	陈	tsh	in	5	2		
晨	晨	s	in	5	0		
塵	尘	t	in	5	0		
諶	谌	s	im	5	0		
磣	碜	tsh	am	1	0		
疢	疢	ts	ian	2	0		
趁	趁	ts	ian	2	0		
齔	龀	tsh	in	3	0		
櫬	榇	tsh	in	3	0		
襯	衬	tsh	in	3	0		
讖	谶	tsh	am	3	0		
傖	伧	tsh	ang	1	0		
琤	琤	ts	eng	1	0		
偁	偁	tsh	eng	1	0		
稱	称	tsh	eng	1	0		
稱	称	tsh	eng	3	0		
稱	称	tsh	in	3	1		
稱	称	tsh	eng	3	2		
撐	撑	th	enn	1	0		
撐	撑	tsh	eng	1	0		
撑	撑	th	enn	1	0		
撑	撑	tsh	eng	1	0		
赬	赪	ts	eng	1	0		
瞠	瞠	th	ang	5	0		
瞠	瞠	th	eng	5	0		
檉	柽	tsh	eng	1	0		
蟶	蛏	th	ang	1	0		
成	成	s	eng	5	2		成功
成	成	ts	iann	5	1		大约::成十;;成百//句末表疑问，难不成，常以轻声调形式出现::唔成@m6-tsiann5@不成
成	成	tsh	iann	5	1		修改
成	成	s	iann	5	1		十分之一::八成
丞	丞	s	eng	5	0		
呈	呈	th	iann	5	1		
呈	呈	th	eng	5	2		
承	承	s	eng	5	0		
城	城	s	iann	5	1		
城	城	s	eng	5	2		
埕	埕	t	iann	5	1		
埕	埕	th	eng	5	2		
乘	乘	s	eng	5	0		
乘	乘	s	eng	6	0		
棖	枨	tsh	eng	5	0		
程	程	th	iann	5	1		
程	程	th	eng	5	2		
